# ra        dec       mass               teff spt      Av  Jmag   SpT_ref Teff_ref    Mass_ref      Data_ref         Dist  FUV               EUV                  MS_lifetime              
  100.26963 9.607422  2.6707502936855696 4.0  A0       ""  10.636 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 11.883391428384204 0.0                   488.7516512250347 
  100.5172  9.799361  2.6156688537267305 3.95 A2       ""  12.698 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 10.262688717858893 0.0                   518.1192214915957 
  100.21317 10.028868 2.9238816464376396 4.07 B8       ""  8.909  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 22.50055693524684  0.0                   379.29229937748585
  100.42994 9.737003  2.6156688537267305 3.95 A2       ""  12.709 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 10.262688717858893 0.0                   518.1192214915957 
  100.40254 9.632277  2.570977368213376  3.91 A5       ""  12.976 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.091055940677057  0.0                   543.7337926529938 
  100.15982 9.787781  4.193326471435483  4.2  B5       ""  8.635  SouCSI  SpT-Wri2015 Teff_interpol "Souza CSI (priv)" 719.4 142.491974822634   0.0                   160.55456788439056
  100.2148  9.863736  3.491519811585165  4.15 B6       ""  9.376  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 57.2887748833337   0.0                   247.369923969918  
  100.186   9.800595  2.9238816464376396 4.07 B8       ""  11.438 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 22.50055693524684  0.0                   379.29229937748585
  100.54031 9.77694   2.570977368213376  3.91 A5       ""  13.268 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.091055940677057  0.0                   543.7337926529938 
  100.36376 9.85403   5.997263706474399  4.29 B2.5     ""  7.831  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 854.2953292000478  2.05092207767563E43   69.00677271380914 
  100.29683 9.882133  2.711247034506662  4.03 B9.5     ""  10.167 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 13.21120377139981  0.0                   468.5845694759488 
  100.12421 9.975805  2.570977368213376  3.91 A5       ""  14.893 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.091055940677057  0.0                   543.7337926529938 
  100.10662 9.996971  2.6156688537267305 3.95 A2       ""  14.272 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 10.262688717858893 0.0                   518.1192214915957 
  100.18011 9.767149  5.090628330550692  4.25 B3V      0.0 11.83  Pov2017 SpT-Wri2015 Teff_interpol Povich+2017      719.4 372.32982595870806 3.1142894270608065E42 101.59694758360928
  100.42525 9.69436   2.5474452599672612 3.89 A7       ""  14.578 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 8.521737557315582  0.0                   557.9147271826754 
  100.29    9.465969  7.545855655067423  4.34 B2IV     0.0 7.66   Pov2017 SpT-Wri2015 Teff_interpol Povich+2017      719.4 2058.455279048524  2.2506123714300713E44 42.93679127028053 
  100.07767 10.006916 2.5935180382262017 3.93 A4       ""  14.433 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.666727410134941  0.0                   530.6051623653445 
  100.17619 9.655906  5.997263706474399  4.29 B2.5V    0.2 8.25   Pov2017 SpT-Wri2015 Teff_interpol Povich+2017      719.4 854.2953292000478  2.05092207767563E43   69.00677271380914 
  100.42527 9.793366  2.604599497488181  3.94 A3.5     ""  9.371  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.961040144068281  0.0                   524.308342889912  
  100.33721 9.571749  2.5474452599672612 3.89 A7       ""  16.665 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 8.521737557315582  0.0                   557.9147271826754 
  100.29694 9.187683  2.6156688537267305 3.95 A2       ""  10.232 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 10.262688717858893 0.0                   518.1192214915957 
  100.11911 9.817846  5.090628330550692  4.25 B3       ""  8.437  SouCSI  SpT-Wri2015 Teff_interpol "Souza CSI (priv)" 719.4 372.32982595870806 3.1142894270608065E42 101.59694758360928
  99.83562  9.526309  2.6156688537267305 3.95 A2       ""  11.541 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 10.262688717858893 0.0                   518.1192214915957 
  100.2064  9.889729  2.570977368213376  3.91 A5       ""  10.918 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.091055940677057  0.0                   543.7337926529938 
  100.45475 9.750888  2.570977368213376  3.91 A5       ""  14.445 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.091055940677057  0.0                   543.7337926529938 
  100.216   9.65208   2.6707502936855696 4.0  A0       ""  10.799 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 11.883391428384204 0.0                   488.7516512250347 
  100.08946 9.697382  2.5474452599672612 3.89 A7       ""  10.149 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 8.521737557315582  0.0                   557.9147271826754 
  99.77461  9.684266  2.5474452599672612 3.89 A7       ""  9.227  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 8.521737557315582  0.0                   557.9147271826754 
  100.41546 9.760777  2.570977368213376  3.91 A5       ""  14.225 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.091055940677057  0.0                   543.7337926529938 
  100.2037  9.86234   2.6156688537267305 3.95 A2       ""  9.521  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 10.262688717858893 0.0                   518.1192214915957 
  100.25014 9.871637  2.711247034506662  4.03 B9       ""  9.998  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 13.21120377139981  0.0                   468.5845694759488 
  100.34192 9.730997  2.9238816464376396 4.07 B8       ""  8.84   SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 22.50055693524684  0.0                   379.29229937748585
  100.35096 9.769554  2.570977368213376  3.91 A5       ""  13.833 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.091055940677057  0.0                   543.7337926529938 
  99.90627  9.453648  2.6707502936855696 4.0  A0       ""  10.845 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 11.883391428384204 0.0                   488.7516512250347 
  100.25784 9.880014  5.090628330550692  4.25 B3V      0.3 9.25   Pov2017 SpT-Wri2015 Teff_interpol Povich+2017      719.4 372.32982595870806 3.1142894270608065E42 101.59694758360928
  100.39422 9.860524  2.604599497488181  3.94 A3       ""  9.611  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.961040144068281  0.0                   524.308342889912  
  99.97329  9.370566  2.5474452599672612 3.89 A7       ""  9.578  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 8.521737557315582  0.0                   557.9147271826754 
  100.29325 9.883849  2.6707502936855696 4.0  A0       ""  9.877  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 11.883391428384204 0.0                   488.7516512250347 
  100.25649 9.470303  2.6707502936855696 4.0  A0       ""  10.449 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 11.883391428384204 0.0                   488.7516512250347 
  100.37542 9.829756  2.6707502936855696 4.0  A0       ""  9.328  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 11.883391428384204 0.0                   488.7516512250347 
  100.10314 9.768951  2.570977368213376  3.91 A5       ""  8.537  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.091055940677057  0.0                   543.7337926529938 
  100.36542 9.920389  2.6156688537267305 3.95 A2       ""  13.545 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 10.262688717858893 0.0                   518.1192214915957 
  100.47091 9.907353  2.6156688537267305 3.95 A2       ""  13.363 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 10.262688717858893 0.0                   518.1192214915957 
  100.40908 9.830277  2.5474452599672612 3.89 A7       ""  14.084 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 8.521737557315582  0.0                   557.9147271826754 
  100.38625 9.89      2.6156688537267305 3.95 A2       ""  12.927 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 10.262688717858893 0.0                   518.1192214915957 
  100.12563 10.004777 2.6156688537267305 3.95 A2       ""  14.481 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 10.262688717858893 0.0                   518.1192214915957 
  100.56612 10.001527 2.6156688537267305 3.95 A2       ""  13.833 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 10.262688717858893 0.0                   518.1192214915957 
  100.4545  9.799222  2.5474452599672612 3.89 A7       ""  15.099 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 8.521737557315582  0.0                   557.9147271826754 
  100.45183 9.897582  2.5474452599672612 3.89 A7       ""  13.523 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 8.521737557315582  0.0                   557.9147271826754 
  100.42959 9.893693  2.570977368213376  3.91 A5       ""  14.248 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.091055940677057  0.0                   543.7337926529938 
  100.30391 9.597208  2.9238816464376396 4.07 B8       ""  9.366  SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 22.50055693524684  0.0                   379.29229937748585
  100.42959 9.893693  2.570977368213376  3.91 A5       ""  14.248 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.09106            0.0                   543.73379         
  100.1637  9.989472  2.570977368213376  3.91 A5       ""  13.316 SouCSI  SpT-Cur2010 Teff_interpol "Souza CSI (priv)" 719.4 9.091055940677057  0.0                   543.7337926529938 
